id_starname,teff,teff_err,logg,logg_err,feh,feh_err,lum,lum_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,gamag,gamag_err,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,bmag,bmag_err,vmag,vmag_err,btmag,btmag_err,vtmag,vtmag_err,numax,numax_err,dnu,dnu_err,dmag,dmag_err,ra,dec,band,iso_age,iso_age_err1,iso_age_err2,iso_avs,iso_avs_err1,iso_avs_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_mass,iso_mass_err1,iso_mass_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_teffsec,iso_teffsec_err1,iso_teffsec_err2,iso_radsec,iso_radsec_err1,iso_radsec_err2,iso_masssec,iso_masssec_err1,iso_masssec_err2,iso_rhosec,iso_rhosec_err1,iso_rhosec_err2,iso_loggsec,iso_loggsec_err1,iso_loggsec_err2
TOI681,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,7.9910000000000005,0.017,-99,0,8.94121,0.004157,8.4728,0.002611,0.00659944036745684,4.538182291649087e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,335.82524699681,35.0350000540585,kmag,1.0439527000475008,0.41972518777410994,-0.49880217976018804,0.0,0.0,-0.0,150.50665901165138,3.726823366377289,-1.363265971420276,0.012323382412156771,0.1637583725013862,-0.12074588102618174,1.4327282777593164,0.07506106815784386,-0.062400505538529716,1.5618326200608872,0.03763651368732446,-0.019889645628664576,5.1837551792449,0.26433742206232314,-0.06863256969797948,4.203318760210634,0.026289175778833496,-0.02940845612291554,0.3684363132097149,0.028252831108878995,-0.026580671146842316,6972.34504829849,27.60165510112165,-26.8869220700617,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI476,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.048,0.017,-99,0,9.40082,0.0017530000000000002,8.73972,0.001513,0.00657713000355165,3.4693428545062705e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,90.16992424024549,-8.468099874435769,kmag,2.968940338973188,0.6324009840860776,-0.4236831087255899,0.0,0.0,-0.0,150.3666271511489,3.1398024100122086,-1.6329503341980285,0.024675321267751064,0.15178302709444105,-0.1851931987955769,1.2749072753908168,0.0475188534482649,-0.06427362736652986,1.6160629022275255,0.028305254853238537,-0.02329740912707079,3.5182664606071845,0.16001969720006715,-0.07076346718756454,4.124115022861556,0.02182860791373109,-0.03458063954781565,0.2973676027706806,0.01866726722359363,-0.02142297055938297,6223.685813313434,17.78480715378737,-26.989019063340493,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI621,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.863999999999999,0.024,-99,0,9.35115,0.000977,9.100439999999999,0.0012900000000000001,0.0035747479802673908,3.829174348634889e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,166.889032024691,-40.2069580584455,kmag,0.4395551122400869,0.23954435905319593,-0.2011681801661181,0.22740397224629813,0.0038920769067390115,-0.004129428655860384,278.4367446997604,5.906603313578387,-5.662665162848839,-0.03100536602673626,0.16405049611129705,-0.2081877641062842,1.8305244635547397,0.10042805178791214,-0.09745036293954557,1.7814761984258578,0.04162117357227291,-0.036948094435834244,14.624154100321833,0.7198755840722875,-0.672497730341366,4.196875741321934,0.027088044932653155,-0.04514804806124317,0.3220900552339885,0.022897791733003492,-0.03496055731352288,8456.803486736055,15.068920685245757,-13.035388036198128,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI817,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.381,0.031,-99,0,8.820030000000001,0.000824,8.60096,0.001381,0.0044001496050865745,3.5702267712932665e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,140.05677512206498,-53.119680707387296,kmag,0.4576138416870972,0.14604182135025978,-0.2137546512055808,0.14140438507567826,0.002440906428269801,-0.00423079126182338,227.03574112092963,3.9465253369517654,-6.496102921009083,-0.027101235018985197,0.16616828560289346,-0.08547209225499755,1.8198416338418857,0.11223535386746497,-0.02500210437390793,1.8052883311038446,0.035033057333171636,-0.04698964584498544,14.766532944440893,0.521829766953342,-0.8605887036067603,4.188333303769313,0.02811964009217327,-0.025022331895450556,0.31308541560031844,0.022208107144144784,-0.02024998511927234,8408.367799217638,12.149935398203525,-20.99046337679465,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI412,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,10.972999999999999,0.026000000000000002,-99,0,11.3471,0.00227,11.227,0.001559,0.00013709127948662058,1.9117463976741823e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,74.2867684629208,-66.3903335287963,kmag,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI901,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,13.842,0.055,-99,0,13.8819,0.008683,14.1136,0.0014269999999999999,0.0007405651993601518,6.167994634311828e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,65.65532460344379,-54.147175288661,kmag,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI503,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,10.398,0.02,-99,0,11.5386,0.0011279999999999999,10.9798,0.0007740000000000001,0.002169427986922688,3.733365912269248e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,351.57970347397696,38.5529750885972,kmag,0.6064170641909514,0.4169964861871658,-0.2869464964681355,0.42805730563273603,0.0,-0.0,456.55991833088666,9.849894925531146,-11.244477269394281,-0.037534058128802325,0.11343442597526295,-0.15281450661198942,1.5128674304917622,0.06289420047995264,-0.06967232959593406,1.5417825113670633,0.030044387983957588,-0.03609642936362478,6.573730559607473,0.2731829663197507,-0.2915638134950038,4.238991748576904,0.01986250076544316,-0.022650711103245236,0.40881145497618826,0.023530021650776,-0.019688055203582355,7440.356730519102,17.37223474919483,-3.37688931331013,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI709,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,8.604,0.021,-99,0,10.0198,0.000597,9.32627,0.000683,0.005485042289676054,4.311279222169326e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,183.118789080501,-49.007639272326706,kmag,2.8789443780869726,0.47530377256829226,-0.5888464909158877,0.10825127063905508,0.0008245435818683561,-0.0016387831722142754,182.6891477215846,1.2727764570621218,-2.9474547051721913,-0.06590589027462945,0.18667000066153805,-0.12130855626106052,1.249514656591005,0.04389424128946917,-0.053733673688201034,1.5151183121435647,0.01410386115076645,-0.02650460684779299,3.236294286670332,0.05126924808219391,-0.11250364861073026,4.170347978280077,0.03154177580439832,-0.027389074002512892,0.35518639179272055,0.033084447065066636,-0.021617756323590642,6284.989066241673,25.027687427500496,-14.468456231400523,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI1417,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,10.161,0.023,-99,0,11.0749,0.001504,10.6358,0.0011359999999999999,0.002373329472717391,2.584279450248462e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,117.89498223629101,-60.4124381390389,kmag,0.41878265138341775,0.33119989813970874,-0.20637374235100608,0.36558048280404665,0.006093487290115218,-0.006175930869867452,420.64594494348756,8.329453317413709,-8.44550520706224,-0.07862821479617463,0.09266244400117984,-0.11075672363018885,1.598860775121411,0.047799023387481654,-0.058346933868906437,1.540795014528321,0.031217518846585746,-0.030480083238023647,8.175815648248776,0.38887810388964894,-0.39460760824592533,4.261702794203309,0.020367850768713502,-0.024328867049935532,0.4259667562701664,0.031113644672471463,-0.025707510967970193,7863.464824839866,8.850525976940844,-17.821583554835343,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
TOI527,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,9.513,0.013999999999999999,-99,0,10.5881,0.001056,10.0542,0.001191,0.0026407241922024693,2.496485884823452e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,62.5730480545792,75.1709010806333,kmag,0.7051499390948546,0.12666671486280445,-0.24305480187586737,0.5197838743799033,4.0190073491430667e-14,-2.3314683517128287e-15,377.96796636157154,4.31566884007708,-9.620767658659986,0.06829844170683155,0.1513460487843977,-0.10517455135067236,1.7258449471770556,0.0873925522037855,-0.033043330933078874,1.8980623886447185,0.014096220485829702,-0.05462497865779192,11.520947970797122,0.20193771210222877,-0.5138208362930392,4.128972747597129,0.028431949614049934,-0.022337665368548087,0.25908545158497487,0.022879287502059698,-0.014047658089958781,7723.304939291498,15.494063082721368,-5.048118188077751,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
