# TESS Object of Interest
# File Created: 2020-09-05
# Sectors: S0001-S0026
# Date of previous TOI list release: 2020-08-12
Source Pipeline,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated
qlp,202375913,1527.01,PC,5.965464,51.468301,9.697,0.009,1768.23572,0.00291,5.06203,0.00128,3.683,0.29,2900.0,1.08938,17,,3.81,0.08,1,2.76,0.1,15.2835,0.66155,1692.0,7664.0,135.0,1361.62,38.0,,3,4,3,3,4,4,4,2019-12-05 21:41:10+0000,2020-05-20 19:58:57+0000
qlp,312259170,1529.01,PC,11.042771,59.464502,10.405,0.031,1764.94054,0.00115,0.8229,3e-05,2.068,0.213,2660.0,4.5744,17 18,Some odd-even,3.8,0.09,1,,,,,4343.0,8078.0,156.3,59083.0,61.0,,3,4,3,3,4,4,4,2019-12-05 21:41:10+0000,2019-12-05 21:41:10+0000
qlp,427761355,1518.01,PC,352.267603,67.034827,8.751,0.006,1766.1206,0.00019,1.90261,1e-05,2.047,0.066,9110.0,4.14258,17 18,,4.32,0.15,1,1.82,0.14,19.7606,1.57401,3284.0,9918.0,1388.8,19308.8,342.0,,3,4,3,3,4,4,4,2019-12-05 21:41:10+0000,2020-05-20 19:58:57+0000
qlp,326919774,1552.01,PC,22.973008,46.399845,8.19,0.007,1771.77219,0.00876,7.57193,0.00278,2.656,0.597,420.0,1.97351,17 18,Variable star,3.45,0.07,1,4.72,0.2,10.2119,0.852754,1479.0,9146.0,140.2,795.635,11.0,,3,4,3,3,4,4,4,2019-12-05 21:41:11+0000,2020-05-20 19:59:01+0000
qlp,319068154,1541.01,PC,350.108867,55.524124,9.744,0.006,1767.31768,0.00269,3.79738,0.00089,1.673,0.438,3020.0,35.3473,17,Slight depth-aperture correlation; transit looks asymmetric,,,1,2.36,,15.4506,,,9500.0,,3462.21,17.0,False,3,4,3,3,4,4,4,2019-12-05 21:41:10+0000,2020-05-20 19:58:57+0000
qlp,64836837,1506.01,PC,338.796577,55.031049,9.812,0.017,1742.68672,0.00421,10.91188,0.00142,2.427,0.271,1670.0,2.66638,16 17,Likely Jupiter sized,3.75,0.07,1,3.37,0.13,14.1108,0.813397,1119.0,9195.0,235.0,261.058,15.0,,3,4,3,3,4,4,4,2019-12-05 21:41:09+0000,2020-05-20 19:58:57+0000
qlp,367102581,1522.01,PC,314.268699,78.674819,9.396,0.006,1765.37876,0.0052,2.97962,0.00049,2.571,0.368,590.0,1.03608,17 18 19,Possible multi; multiple stars in pixel,4.24,0.07,1,1.89,0.06,4.45612,0.258131,2210.0,9024.0,335.2,3964.58,16.0,False,3,4,3,3,4,4,4,2019-12-05 21:41:10+0000,2020-05-20 19:59:00+0000
qlp,431585347,1543.01,PC,357.674088,50.354986,10.06,0.007,1766.20793,0.00682,5.13664,0.00317,4.45,1.002,930.0,3.21692,17,,4.08,0.07,1,2.32,0.08,7.04152,0.518367,2355.0,9238.0,145.1,5106.92,11.0,,3,4,3,3,4,4,4,2019-12-05 21:41:10+0000,2020-05-20 19:58:58+0000
qlp,415741431,1508.01,PC,339.144395,58.276073,10.471,0.02,1739.70456,0.00498,2.1568,0.0004,2.246,0.396,1020.0,2.58079,16 17,Crowded field,3.58,0.08,1,3.87,0.15,12.1828,0.834819,2252.0,8326.0,230.8,4273.07,14.0,,3,4,3,3,4,4,4,2019-12-05 21:41:09+0000,2020-05-20 19:58:58+0000
qlp,198457103,1488.01,PC,261.921135,57.510498,8.07,0.006,1683.9199,0.00729,0.47225,4e-05,2.303,0.225,90.0,0.190036,14 15 16 17 18 19,Potential level 1 candidate; very weak signal,4.08,0.08,1,1.94,0.07,1.64337,0.111234,4620.0,7269.0,124.5,75651.2,11.0,,2,4,2,2,4,4,4,2019-12-05 21:41:09+0000,2020-05-20 19:59:02+0000
qlp,420288086,1535.01,PC,10.962765,61.835626,10.44,0.024,1769.58501,0.00238,6.53427,0.00058,3.679,0.361,3770.0,49.1636,17 18,Could be twice the period,3.96,0.07,1,2.6,0.23,20.4061,2.71884,2064.0,7715.3,362.3,3017.9,29.0,,3,4,3,3,4,4,4,2019-12-05 21:41:10+0000,2019-12-05 21:41:10+0000
