# TESS Object of Interest
# File Created: 2020-09-05
# Sectors: S0001-S0026
# Date of previous TOI list release: 2020-08-12
Source Pipeline,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated
spoc,422923265,1641.01,PC,40.245575,42.871276,9.616,0.0071,1791.787255,0.001256,1.864989,0.000181,1.008516,0.211027,1159.43003,98.74032,18,Centroid offset; not centered on another star,3.77846,0.143563,1,3.39909,0.520522,12.538129,2.963973,4004.854425,9898.0,151.436,60795.010626,8.000887,,3,4,3,3,4,4,4,2020-01-14 19:46:38+0000,2020-01-14 19:46:38+0000
spoc,142090065,1715.01,PC,79.073659,79.737671,9.012,0.006,1816.93698,0.00249,2.827591,0.000232,1.15843,0.105526,1067.127652,71.651276,20,centroid offset < 3sigma on TIC 142090063; need SG1 to check,4.28,0.09,1,1.50581,0.058726,5.551072,0.415155,1795.805928,7072.0,131.2,2457.868282,12.734703,False,3,4,3,3,4,4,4,2020-02-19 23:47:13+0000,2020-02-19 23:47:13+0000
spoc,7624182,412.01,PC,64.311397,-38.844151,8.768,0.019,1411.815795,0.00066,1.108467,5.2e-05,1.099309,0.139281,859.958482,34.553566,4,hot star; could still be a planet,3.80083,0.468308,1,3.06846,0.659386,9.470089,2.913827,4065.152614,8666.0,229.0,64539.919553,20.24239,False,3,4,3,3,4,4,4,2019-01-31 17:54:44+0000,2019-01-31 17:54:44+0000
spoc,398733009,464.01,PC,32.16976,-9.046048,15.722,0.029,1411.561846,0.00143,0.818498,8.2e-05,0.944231,0.133635,54403.635797,4370.912,4,bright stars nearby,5.59998,0.0,1,0.18,0.0,4.470249,0.227883,5027.502494,31000.0,0.0,150983.740512,10.879834,False,3,4,3,3,4,4,4,2019-02-08 19:54:07+0000,2019-02-08 19:54:07+0000
spoc,156987351,476.01,PC,99.581432,-47.613869,8.853,0.02,1469.873622,0.001779,3.062959,0.000493,3.926219,0.061298,6560.316755,333.77582,6,check timing of possible pulsations; giant planet or EB; GAIA Rstar=2.3Rsun,4.11671,0.365191,1,1.94596,0.287747,16.945509,2.542714,2110.78758,7691.0,215.0,4691.363902,9.201258,False,3,4,3,3,4,4,4,2019-02-22 14:51:23+0000,2019-02-22 14:51:23+0000
spoc,71512186,525.01,PC,90.169892,-8.468093,8.77,0.018,1471.035468,0.003723,14.821751,0.005283,6.071374,0.599665,486.159685,42.113205,6,possibly marginal,4.22374,0.333564,1,1.60059,0.188814,3.633732,1.194901,1064.85008,7064.0,206.0,303.860937,10.557674,False,3,4,3,3,4,4,4,2019-03-28 00:07:14+0000,2019-03-28 00:07:14+0000
spoc,148228019,527.01,PC,101.188763,-36.657378,8.236,0.019,1470.738689,0.000423,18.089162,0.000598,2.523193,0.042905,5554.374458,72.318954,6,GAIA Rstar=2.2Rsun; planet is likely larger than 16Re,4.13809,1.60578,1,1.83686,1.46018,22.21757,18.995506,1104.207688,7403.0,211.0,351.337145,85.64537,False,3,4,3,3,4,4,4,2019-02-26 17:36:51+0000,2019-02-26 17:36:51+0000
spoc,186812530,503.01,PC,124.32041,12.601365,9.187,0.018,1492.053368,0.000563,3.677469,0.000158,1.835655,0.044764,3648.055302,124.4756,7,slightly V-shaped; hot star; 12 Re,4.28126,0.47567,1,1.64528,0.35241,12.699243,3.160989,1859.258443,7887.0,218.0,2824.099874,52.764706,False,3,4,3,3,4,4,4,2019-03-14 21:38:48+0000,2019-03-14 21:38:48+0000
spoc,19451711,522.01,PC,124.602799,-7.571285,7.359,0.019,1491.704967,0.001292,0.397554,4.2e-05,1.712397,0.300345,107.215193,9.371282,7,V-shaped and short period; GAIA Rp=1.6 Rsun,4.438,0.0,1,1.89537,0.201579,2.023658,2.161255,3521.380955,7381.0,80.0,36339.00621,8.220099,False,1,4,1,1,4,4,4,2019-03-22 22:54:00+0000,2019-03-22 22:54:00+0000
spoc,410094645,577.01,PC,133.258936,-22.198162,12.337,0.018,1517.977493,0.000673,3.329788,0.000167,3.24713,0.050201,22427.298659,295.96988,8,large possible hot Jupiter; GAIA Rstar=1.54 so the planet may be potentially smaller than 29 REarth,4.14244,0.0,1,1.81463,1.46078,29.279236,23.5713,1917.73536,7341.0,189.0,3196.507337,80.501144,False,3,4,3,3,4,4,4,2019-04-13 04:58:29+0000,2019-04-13 04:58:29+0000
spoc,30828562,621.01,PC,134.718607,-43.452891,8.11,0.017,1520.110439,0.000227,3.112361,5.2e-05,2.437419,0.014018,6343.20305,58.34585,8,possible hot Jupiter,4.08695,0.341185,1,2.04956,0.277062,18.92299,2.560921,2186.455692,7850.0,217.0,5401.118741,187.64789,False,3,4,3,3,4,4,4,2019-04-10 17:25:16+0000,2019-04-10 17:25:16+0000
spoc,83092282,622.01,PC,125.305097,-46.484211,8.544,0.018,1520.692903,0.000494,6.402053,0.000272,3.869895,0.043577,3892.872637,49.669323,8,possible hot Saturn,4.33435,0.325246,1,1.40788,0.157602,9.367673,1.053028,1320.066778,7056.0,206.0,717.636644,82.86212,False,3,4,3,3,4,4,4,2019-04-10 17:25:16+0000,2019-04-10 17:25:16+0000
spoc,151681127,671.01,PC,166.889018,-40.206942,9.128,0.021,1552.917674,0.000333,10.197751,0.000495,4.911431,0.025398,15405.531208,121.069046,9,Likely large planet based on temperature; need SG1 to check 151681126 (T mag = 15.914),4.21106,0.450146,1,1.79553,0.360923,24.004261,4.826364,1333.0,7949.0,219.0,525.689,135.34671,False,3,4,3,3,4,4,4,2019-05-06 19:17:04+0000,2019-05-06 19:17:04+0000
spoc,410450228,681.01,PC,117.89497,-60.412452,10.656,0.018,1546.476737,0.001273,15.778431,0.001807,3.360643,0.122936,6974.195747,313.84097,9,V-shaped; possible odd/even,3.79,0.17,1,1.23189,0.304797,13.082777,4.239843,1243.091121,7447.0,41.0,564.329637,42.580555,False,3,4,3,3,4,4,4,2019-05-06 19:17:06+0000,2019-05-06 19:17:06+0000
spoc,373424049,742.01,PC,140.05679,-53.119644,8.624,0.018,1543.475174,0.00283,0.963081,0.000194,2.378514,0.265809,244.261214,18.360544,9 10,A type star; could be on 373424060,4.32187,0.344824,1,1.68698,0.245108,2.727644,0.596427,3166.006188,8688.0,230.0,23744.773941,13.63825,False,2,4,1,1,4,4,4,2019-06-06 16:40:58+0000,2019-06-06 16:40:58+0000
spoc,162362398,760.01,PC,169.414512,-44.01713,10.582,0.019,1578.660716,0.000778,12.352053,0.001094,6.158533,0.062269,13945.036288,165.74728,10,Likely EB; large radius.,4.20409,0.682895,1,1.79136,0.583149,22.811674,7.427838,1291.309439,7852.0,217.0,657.116397,94.26555,False,3,4,3,3,4,4,4,2019-06-11 20:03:40+0000,2019-06-11 20:03:40+0000
spoc,334305570,777.01,PC,183.118763,-49.007645,9.355,0.018,1575.779208,0.001115,16.603554,0.001553,4.703945,0.119584,2581.758445,76.90881,10,,4.3586,0.384488,1,1.39198,0.213065,7.319194,1.150153,969.374476,7199.0,208.0,208.683121,29.06867,False,3,4,3,3,4,4,4,2019-06-11 20:03:40+0000,2019-06-11 20:03:40+0000
spoc,461271719,838.01,PC,203.16661,-38.845928,8.782,0.019,1603.194187,0.001105,15.246334,0.001751,1.273547,0.389764,1179.250985,80.582504,11,could be in phase with the variability; needs closer inspection in the raw light curve; period may be P/2; could also be an EB with a secondary possibly falling in the data gap,4.14443,1.636,1,1.80463,1.46167,6.38919,6.531282,1148.544203,7313.0,210.0,411.255631,13.648395,False,3,4,3,3,4,4,4,2019-06-27 18:48:45+0000,2019-06-27 18:48:45+0000
spoc,309402106,710.01,PC,124.748805,-65.278206,8.472,0.017,1343.94219,0.000563,72.0819,0.0001,1.148164,0.04312,5511.209,201.68707,11 10 9 8 5 1,v-shaped; period is 216.245 d or an integer of that e.g. P/2 P/3 P/4; two events; TFOP EB,4.22463,0.342048,1,1.59688,0.199247,18.899661,11.109354,1205.527164,7053.0,206.0,499.14762,33.773872,False,3,4,3,3,4,4,4,2019-05-20 19:32:05+0000,2020-07-13 14:14:43+0000
spoc,396720998,709.01,PC,65.655287,-54.147186,14.221,0.053,1392.818675,0.00158,32.379584,0.001156,4.147055,0.09237,59615.70453,1849.1248,5 4 3,Gaia DR2 Teff = 8583 K so planet might be too big; host is apparently a hot subdwarf.,5.80276,0.0,1,0.147,0.0,3.920874,0.066923,3194.626895,50000.0,0.0,24615.098384,45.851597,,3,4,3,3,4,4,4,2019-04-30 13:04:30+0000,2019-04-30 13:04:30+0000
